zona,precos,quartos,areas
sul,500000.0,2,51
sul,1555.0,2,80
sul,800000.0,2,51
sul,20000.0,,386
sul,2500.0,3,105
sul,3800.0,3,118
sul,750000.0,1,42
sul,1150.0,2,49
sul,2200.0,2,69
sul,1300.0,2,65
sul,850000.0,1,50
sul,1900.0,3,80
sul,950000.0,1,30
sul,7200.0,1,54
sul,600000.0,1,15
sul,5100.0,4,165
sul,2880.0,1,33
sul,2100.0,3,70
sul,5080.0,2,60
sul,1130.0,2,48
sul,1400.0,1,49
sul,1120.0,2,64
sul,976000.0,1,46
sul,1700.0,2,60
sul,1300.0,1,25
sul,1820.0,3,65
sul,1560.0,3,80
sul,2700.0,4,124
sul,1450.0,2,85
sul,2200.0,2,75
sul,1000.0,2,61
sul,2200.0,2,64
sul,1768.0,3,70
sul,2080.0,3,105
sul,3500.0,2,75
sul,1550.0,2,50
sul,1365.0,2,41
sul,1700.0,3,70
sul,2200.0,2,70
sul,2917.0,3,70
sul,1433.0,2,60
sul,2300.0,2,65
sul,1900.0,2,60
sul,2340.0,2,70
sul,2000.0,2,150
sul,2600.0,1,37
sul,2600.0,2,68
sul,1700.0,3,130
sul,1887.0,2,72
sul,990000.0,1,25
sul,15000.0,4,200
sul,2500.0,3,91
sul,4900.0,2,67
sul,1800.0,1,34
sul,2900.0,1,46
sul,1260.0,1,25
sul,1699.0,3,80
sul,1499.0,1,35
sul,2540.0,3,85
sul,1768.0,1,37
sul,3200.0,2,68
sul,6600.0,2,120
sul,2800.0,2,62
sul,2900.0,2,86
sul,1500.0,2,58
sul,3000.0,3,152
sul,1850.0,2,60
sul,2000.0,3,69
sul,2250.0,1,75
sul,1440.0,3,45
sul,1820.0,2,54
sul,3500.0,1,50
sul,3500.0,3,87
sul,1800.0,2,110
sul,3329.0,2,45
sul,2754.0,3,75
sul,4500.0,3,110
sul,2754.0,1,40
sul,1300.0,2,57
sul,4500.0,2,78
sul,4500.0,3,134
sul,1600.0,1,45
sul,4182.0,2,65
sul,3800.0,1,60
sul,3060.0,2,99
sul,1200.0,1,30
sul,2200.0,2,51
sul,3200.0,2,65
sul,2000.0,1,50
sul,1300.0,2,47
sul,2629.0,3,84
sul,1560.0,2,40
sul,1560.0,2,65
sul,1260.0,2,57
sul,2500.0,3,84
sul,2500.0,1,55
sul,1200.0,1,40
sul,1560.0,2,70
sul,1300.0,2,57
sul,9900.0,4,280
sul,4000.0,4,98
sul,1200.0,2,55
sul,3500.0,3,130
sul,7000.0,4,328
sul,2000.0,2,60
sul,1400.0,1,35
sul,1200.0,2,52
sul,3000.0,2,55
sul,3978.0,2,57
sul,1400.0,2,45
sul,4000.0,3,180
