zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,0,0,1,1.0986122886681096,4.61512051684126,8.412054873292933
0,0,0,1,0.6931471805599453,3.5263605246161616,7.9658927350845286
0,0,1,0,1.6094379124341003,4.795790545596741,8.699681400989514
0,0,0,1,1.0986122886681096,4.143134726391533,7.8636512654486515
1,0,0,0,1.0986122886681096,4.51085950651685,7.438971592395862
0,0,1,0,1.6094379124341003,6.111467339502679,8.77971129020447
0,1,0,0,0.6931471805599453,3.713572066704308,7.244941546337007
0,1,0,0,0.6931471805599453,3.58351893845611,13.710151153416941
0,1,0,0,0.6931471805599453,3.2188758248682006,6.947937068614969
0,0,0,1,0.6931471805599453,3.58351893845611,7.9624156801210635
1,0,0,0,1.0986122886681096,3.970291913552122,13.641158361294979
0,1,0,0,1.3862943611198906,4.948759890378168,8.09101504171053
0,0,1,0,1.0986122886681096,4.2626798770413155,8.188966863648876
0,1,0,0,1.0986122886681096,4.394449154672439,7.0909098220799835
0,0,1,0,1.3862943611198906,4.68213122712422,7.824445930877619
0,1,0,0,1.0986122886681096,3.9318256327243257,7.3783837129967145
0,1,0,0,1.791759469228055,5.993961427306569,9.61587214452889
1,0,0,0,1.3862943611198906,5.14166355650266,7.901377353792616
1,0,0,0,1.0986122886681096,5.303304908059076,9.90353755128617
1,0,0,0,1.0986122886681096,4.61512051684126,7.496097345175956
0,0,0,1,1.0986122886681096,3.7376696182833684,7.139660335964919
0,1,0,0,1.0986122886681096,3.9318256327243257,7.496097345175956
1,0,0,0,1.0986122886681096,3.8918202981106265,13.805461232211272
0,0,0,1,1.3862943611198906,5.017279836814924,7.901377353792616
0,0,1,0,1.0986122886681096,4.709530201312334,7.0909098220799835
0,0,1,0,1.0986122886681096,4.189654742026425,7.280008252884188
0,0,1,0,0.6931471805599453,3.8918202981106265,8.216358332386156
0,1,0,0,1.3862943611198906,5.62040086571715,8.092851027538384
1,0,0,0,1.0986122886681096,4.007333185232471,7.479299637782834
1,0,0,0,1.0986122886681096,3.9512437185814275,7.576097340623111
1,0,0,0,1.3862943611198906,5.351858133476067,8.507344855361422
0,1,0,0,1.3862943611198906,4.663439094112067,7.783640596221253
1,0,0,0,1.0986122886681096,4.007333185232471,7.0909098220799835
0,1,0,0,1.0986122886681096,4.2626798770413155,7.813187267521416
0,1,0,0,1.3862943611198906,4.418840607796598,7.496097345175956
0,1,0,0,1.0986122886681096,4.394449154672439,7.170119543449628
0,0,0,1,0.6931471805599453,3.784189633918261,8.216358332386156
0,1,0,0,0.6931471805599453,2.3978952727983707,13.592368256649284
0,0,1,0,0.6931471805599453,3.9889840465642745,8.294299608857235
0,0,1,0,0.6931471805599453,3.9318256327243257,7.901377353792616
0,0,0,1,1.3862943611198906,5.030437921392435,8.006700845440367
0,0,0,1,1.0986122886681096,3.9318256327243257,7.052721049232323
0,0,0,1,1.3862943611198906,5.017279836814924,8.294299608857235
0,0,0,1,1.6094379124341003,4.59511985013459,8.294299608857235
0,0,1,0,1.3862943611198906,4.983606621708336,8.412054873292933
1,0,0,0,1.0986122886681096,4.02535169073515,8.006700845440367
0,0,1,0,1.3862943611198906,4.7535901911063645,8.517393171418904
0,0,0,1,1.0986122886681096,4.672828834461906,8.77971129020447
1,0,0,0,1.3862943611198906,4.394449154672439,7.901377353792616
0,1,0,0,1.3862943611198906,4.709530201312334,7.735870319952567
0,0,0,1,0.6931471805599453,4.330733340286331,7.719129840906732
0,1,0,0,1.0986122886681096,4.02535169073515,7.650168700845001
0,0,0,1,1.0986122886681096,4.060443010546419,7.139660335964919
0,1,0,0,1.0986122886681096,3.9318256327243257,7.741099090035366
0,0,0,1,1.3862943611198906,4.248495242049359,7.474204806496124
1,0,0,0,1.0986122886681096,3.9512437185814275,7.313886831633462
0,1,0,0,1.0986122886681096,6.85751406254539,9.952325334619427
1,0,0,0,1.0986122886681096,3.4965075614664802,13.45883704259595
0,0,0,1,0.6931471805599453,3.6375861597263857,7.478169694159785
0,1,0,0,0.6931471805599453,3.4339872044851463,13.384729180332174
0,1,0,0,1.3862943611198906,4.875197323201151,8.340694647925071
0,0,0,1,0.6931471805599453,4.02535169073515,8.630700432209832
0,0,1,0,1.3862943611198906,5.313205979041787,9.392745258631441
0,1,0,0,1.6094379124341003,5.049856007249537,8.294299608857235
1,0,0,0,1.0986122886681096,3.7612001156935624,7.417580402414544
0,0,1,0,1.0986122886681096,4.61512051684126,8.51097389160232
0,1,0,0,1.0986122886681096,5.017279836814924,7.749753406274437
0,0,1,0,1.0986122886681096,3.912023005428146,7.496097345175956
0,1,0,0,1.0986122886681096,3.9318256327243257,7.3783837129967145
0,0,1,0,0.6931471805599453,3.58351893845611,13.652992804936396
0,0,1,0,1.0986122886681096,4.394449154672439,8.026496938945412
1,0,0,0,1.0986122886681096,4.007333185232471,13.641158361294979
0,0,0,1,1.0986122886681096,4.304065093204169,8.434028950155469
1,0,0,0,0.6931471805599453,3.2188758248682006,13.652992804936396
0,0,0,1,1.3862943611198906,4.343805421853684,7.67368812926773
0,0,1,0,0.6931471805599453,3.4657359027997265,8.0149968943483
1,0,0,0,1.0986122886681096,4.61512051684126,7.83241092718792
0,0,0,1,0.6931471805599453,3.828641396489095,7.919719760924575
1,0,0,0,1.0986122886681096,4.356708826689592,7.307872780763706
0,0,0,1,1.3862943611198906,4.90527477843843,8.294299608857235
0,0,0,1,1.3862943611198906,5.017279836814924,8.160803920954665
1,0,0,0,1.3862943611198906,5.802118375377063,8.160803920954665
1,0,0,0,1.0986122886681096,5.638354669333745,9.04793908261736
0,0,0,1,1.3862943611198906,5.303304908059076,8.517393171418904
0,0,1,0,1.3862943611198906,5.198497031265826,8.732465848349879
1,0,0,0,1.3862943611198906,5.564520407322694,8.131824785007195
0,0,1,0,1.0986122886681096,4.276666119016055,7.855932199718614
0,0,0,1,1.3862943611198906,4.442651256490317,7.874739125171811
0,0,1,0,1.791759469228055,5.707110264748875,9.210440366976517
0,0,0,1,0.6931471805599453,4.3694478524670215,8.682877107057168
1,0,0,0,1.6094379124341003,4.709530201312334,7.640603826393634
0,0,1,0,1.0986122886681096,4.07753744390572,7.438971592395862
1,0,0,0,1.0986122886681096,4.110873864173311,7.650168700845001
0,0,1,0,0.6931471805599453,3.828641396489095,7.507141079727608
0,1,0,0,0.6931471805599453,3.713572066704308,7.824445930877619
0,0,1,0,1.0986122886681096,4.477336814478207,8.476579508530941
0,0,1,0,0.6931471805599453,3.8501476017100584,7.696667081526462
0,1,0,0,1.0986122886681096,4.31748811353631,8.160803920954665
1,0,0,0,1.0986122886681096,4.51085950651685,7.650168700845001
1,0,0,0,1.3862943611198906,5.231108616854587,8.101980731853192
0,0,1,0,0.6931471805599453,3.7612001156935624,13.76421831620775
1,0,0,0,1.3862943611198906,5.303304908059076,7.824445930877619
1,0,0,0,0.6931471805599453,4.007333185232471,7.163946684342547
1,0,0,0,1.3862943611198906,5.517452896464707,7.902857191280582
0,0,0,1,0.6931471805599453,3.9318256327243257,8.160803920954665
0,1,0,0,1.0986122886681096,4.3694478524670215,7.3783837129967145
0,0,1,0,1.3862943611198906,4.804021044733257,9.127067452782361
1,0,0,0,1.0986122886681096,4.875197323201151,8.412054873292933
0,0,0,1,1.0986122886681096,3.8918202981106265,7.030857476116121
1,0,0,0,1.0986122886681096,4.07753744390572,13.785052381406869
1,0,0,0,1.0986122886681096,3.784189633918261,13.753636218075409
1,0,0,0,1.3862943611198906,4.812184355372417,8.497194544909547
0,0,0,1,1.0986122886681096,4.110873864173311,7.438971592395862
0,0,1,0,1.0986122886681096,3.9318256327243257,7.280008252884188
1,0,0,0,1.3862943611198906,4.68213122712422,8.486940148245216
0,1,0,0,1.6094379124341003,5.198497031265826,8.131824785007195
1,0,0,0,0.6931471805599453,4.189654742026425,6.90875477931522
0,0,0,1,1.0986122886681096,3.828641396489095,8.110727582974489
0,0,0,1,1.0986122886681096,4.110873864173311,7.2682230211595655
0,0,1,0,0.6931471805599453,4.394449154672439,7.824445930877619
0,0,1,0,1.0986122886681096,3.912023005428146,7.313886831633462
1,0,0,0,1.0986122886681096,5.860786223465865,9.105090961257085
0,0,0,1,1.0986122886681096,4.110873864173311,7.902857191280582
0,0,1,0,0.6931471805599453,3.4965075614664802,7.937731775260109
0,1,0,0,0.6931471805599453,3.2188758248682006,6.947937068614969
1,0,0,0,1.0986122886681096,3.8918202981106265,7.244941546337007
0,0,1,0,1.3862943611198906,4.394449154672439,7.791935956938058
1,0,0,0,1.0986122886681096,5.676753802268282,9.472781556562168
0,0,0,1,1.0986122886681096,4.189654742026425,7.741099090035366
0,0,0,1,1.3862943611198906,5.198497031265826,8.294299608857235
0,0,0,1,1.0986122886681096,4.343805421853684,7.3783837129967145
0,0,0,1,1.0986122886681096,4.2626798770413155,7.75833346749091
0,1,0,0,1.3862943611198906,4.51085950651685,7.550135342488429
0,1,0,0,1.0986122886681096,4.2626798770413155,7.0909098220799835
1,0,0,0,0.6931471805599453,3.4339872044851463,6.957497370876951
0,0,1,0,1.0986122886681096,4.2626798770413155,8.071218539969863
0,1,0,0,1.0986122886681096,4.51085950651685,7.550135342488429
0,1,0,0,1.6094379124341003,5.081404364984463,8.314097335405807
0,0,0,1,1.0986122886681096,3.828641396489095,7.496097345175956
0,0,0,1,1.0986122886681096,4.127134385045092,6.90875477931522
0,1,0,0,1.6094379124341003,4.709530201312334,7.696667081526462
0,0,1,0,0.6931471805599453,4.04305126783455,8.268988209506656
0,0,0,1,1.6094379124341003,4.61512051684126,8.160803920954665
1,0,0,0,1.3862943611198906,5.017279836814924,7.822845290279774
0,0,1,0,0.6931471805599453,3.4339872044851463,7.9624156801210635
0,1,0,0,1.0986122886681096,4.532599493153256,7.3783837129967145
0,0,0,1,1.3862943611198906,4.442651256490317,7.824445930877619
0,0,1,0,0.6931471805599453,3.9318256327243257,7.151485463904735
0,0,1,0,0.6931471805599453,3.9318256327243257,7.478169694159785
0,1,0,0,0.6931471805599453,3.828641396489095,13.795308871054397
0,0,1,0,1.3862943611198906,4.948759890378168,8.24301946898925
0,0,0,1,0.6931471805599453,3.4965075614664802,8.026496938945412
0,1,0,0,1.0986122886681096,4.290459441148391,7.438971592395862
0,1,0,0,1.3862943611198906,4.174387269895637,7.601402334583733
0,0,1,0,1.3862943611198906,4.875197323201151,8.699681400989514
0,1,0,0,1.3862943611198906,4.343805421853684,8.149312843635345
0,0,1,0,1.0986122886681096,3.4339872044851463,13.592368256649284
1,0,0,0,0.6931471805599453,3.367295829986474,7.0909098220799835
0,0,1,0,1.3862943611198906,4.948759890378168,8.284251797621916
1,0,0,0,1.9459101490553132,5.303304908059076,8.517393171418904
0,0,1,0,1.0986122886681096,4.110873864173311,7.824445930877619
